unique_key,source,Name,Provider,StreetAddress,City,ZipCode,State,Country,Whitespace,Area,YearBuilt,Power,Scale,Certifications,URL
tierpoint-valley-forge,centers,TierPoint: Valley Forge Data Center,TierPoint,1000 Adams Avenue,Norristown,,PA,USA,137000 sqft total space,61000 sqft colocation space,,,,"EU-US, HIPAA, HITRUST CSF, ISO 27001, NIST 800-53, PCI DSS, SOC 1 Type 2, SOC 2, SOC 2 Type 2",https://www.datacenters.com/tierpoint-valley-forge
flexential-dallas-richardson,centers,Flexential: Dallas - Richardson Data Center,Flexential,3010 Waterview Pkwy,Richardson,75080,TX,USA,100807 sqft,50851 sqft,,3.0 MW,,"HITRUST CSF, NIST 800-53, PCI DSS, SOC 1 Type 2, SOC 2 Type 2, SOC 3, SSAE 18",https://www.datacenters.com/flexential-dallas-richardson
tierpoint-nashville,centers,,,,,,,,,,,,,,https://www.datacenters.com/tierpoint-nashville
flexential-cincinnati,centers,,,,,,,,,,,,,,https://www.datacenters.com/flexential-cincinnati
tierpoint-allentown-tekpark,centers,,,,,,,,,,,,,,https://www.datacenters.com/tierpoint-allentown-tekpark
tierpoint-raleigh,centers,,,,,,,,,,,,,,https://www.datacenters.com/tierpoint-raleigh
flexential-atlanta-norcross,centers,Flexential: Atlanta - Norcross Data Center,Flexential,2775 Northwoods Pkwy,Norcross,30071,GA,USA,32740 sqft total space,10000 sqft colocation space,,2.0 MW total power,,"HIPAA, ISO 27001, PCI DSS, SOC 1 Type 2, SOC 2 Type 2, SOC 3, SSAE 18",https://www.datacenters.com/flexential-atlanta-norcross
coresite-va1-reston,centers,,,,,,,,,,,,,,https://www.datacenters.com/coresite-va1-reston
tierpoint-new-york-hwt-hawthorne,centers,TierPoint: New York - HWT Hawthorne Data Center,TierPoint,11 Skyline Drive,Hawthorne,,NY,USA,46000 sqft total space,28000 sqft colocation space,,,,"EU-US, HIPAA, HITRUST CSF, ISO 27001, NIST 800-53, PCI DSS, SOC 1 Type 2, SOC 2, SOC 2 Type 2",https://www.datacenters.com/tierpoint-new-york-hwt-hawthorne
coresite-ny2-new-jersey-secaucus,centers,CoreSite: NY2 New Jersey Secaucus Data Center,CoreSite,2 Emerson Lane,Secaucus,,NJ,USA,236000 sqft total space,236000 sqft,,,,"FISMA, HIPAA, ISO 27001, NIST 800-53, PCI DSS, SOC 1 Type 2, SOC 2 Type 2",https://www.datacenters.com/coresite-ny2-new-jersey-secaucus
tierpoint-kansas-city-lenexa,centers,TierPoint: Kansas City - Lenexa Data Center,TierPoint,14500 West 105th Street,Lenexa,,KS,USA,58000 sqft total space,11000 sqft colocation space,,,,"EU-US, HIPAA, HITRUST CSF, ISO 27001, NIST 800-53, PCI DSS, SOC 1 Type 2, SOC 2, SOC 2 Type 2",https://www.datacenters.com/tierpoint-kansas-city-lenexa
flexential-richmond,centers,Flexential: Richmond Data Center,Flexential,8851 Park Central Drive suite b,Richmond,23227,VA,USA,28594 sqft,10500 sqft,,2.0 MW,,"HIPAA, ISO 27001, PCI DSS, SOC 1 Type 2, SOC 2 Type 2, SOC 3, SSAE 18",https://www.datacenters.com/flexential-richmond
flexential-charlotte-south,centers,Flexential: Charlotte - South Data Center,Flexential,8910 Lenox Pointe Drive,Charlotte,,NC,USA,66666 sqft total space,13600 sqft colocation space,,2.0 MW total power,,"HIPAA, ISO 27001, PCI DSS, SOC 1 Type 2, SOC 2 Type 2, SOC 3, SSAE 18",https://www.datacenters.com/flexential-charlotte-south
tierpoint-dallas-allen,centers,,,,,,,,,,,,,,https://www.datacenters.com/tierpoint-dallas-allen
coresite-va3-reston,centers,,,,,,,,,,,,,,https://www.datacenters.com/coresite-va3-reston
flexential-philadelphia-collegeville,centers,,,,,,,,,,,,,,https://www.datacenters.com/flexential-philadelphia-collegeville
tierpoint-baltimore,centers,TierPoint: Baltimore Data Center,,1401 Russell Street,Baltimore,,MD,USA,28000 sqft total space,14000 sqft colocation space,,,,"EU-US, HIPAA, HITRUST CSF, ISO 27001, NIST 800-53, PCI DSS, SOC 1 Type 2, SOC 2, SOC 2 Type 2",https://www.datacenters.com/tierpoint-baltimore
flexential-denver-aurora,centers,Flexential: Denver - Aurora Data Center,Flexential,11900 East Cornell Avenue,Aurora,,CO,USA,171000 sqft,171000 sqft,,6.0 MW,,"HITRUST CSF, NIST 800-53, PCI DSS, SOC 1 Type 2, SOC 2 Type 2, SOC 3, SSAE 18",https://www.datacenters.com/flexential-denver-aurora
coresite-la1-los-angeles,centers,,,,,,,,,,,,,,https://www.datacenters.com/coresite-la1-los-angeles
coresite-dc2-washington-dc,centers,CoreSite: DC2 Washington DC Data Center,,1099 14th Street Northwest,Washington,,DC,USA,24000 sqft total space,24000 sqft,,,,"FISMA, HIPAA, ISO 27001, NIST 800-53, PCI DSS, SOC 1 Type 2, SOC 2 Type 2",https://www.datacenters.com/coresite-dc2-washington-dc
flexential-louisville-downtown,centers,Not Available,Flexential,752 Barret Ave,Louisville,40204,KY,USA,61080 sqft,8500 sqft,,3.0 MW,Enterprise,"HIPAA, ISO 27001, PCI DSS, SOC 1 Type 2, SOC 2 Type 2, SOC 3, SSAE 16 Type 1, SSAE 18",https://www.datacenters.com/flexential-louisville-downtown
tierpoint-omaha-midlands,centers,TierPoint: Omaha - Midlands Data Center,TierPoint,11425 South 84th Street,Papillion,68046,NE,USA,63000 sqft total space,15000 sqft colocation space,,,,"EU-US, HIPAA, HITRUST CSF, ISO 27001, NIST 800-53, PCI DSS, SOC 1 Type 2, SOC 2, SOC 2 Type 2",https://www.datacenters.com/tierpoint-omaha-midlands
coresite-va2-reston,centers,,,,,,,,,,,,,,https://www.datacenters.com/coresite-va2-reston
flexential-salt-lake-city-downtown,centers,Flexential: Salt Lake City - Downtown Data Center,Flexential,572 Delong St suite 100,Salt Lake City,84104,UT,USA,44550 sqft total space,33386 sqft colocation space,,2.0 MW total power,,"HITRUST CSF, NIST 800-53, PCI DSS, SOC 1 Type 2, SOC 2 Type 2, SOC 3, SSAE 18",https://www.datacenters.com/flexential-salt-lake-city-downtown
coresite-dc1-washington-dc,centers,CoreSite: DC1 Washington DC Data Center,CoreSite,1275 K Street Northwest,Washington,,DC,USA,22000 sqft total space,22000 sqft,,,,"FISMA, HIPAA, ISO 27001, NIST 800-53, PCI DSS, SOC 1 Type 2, SOC 2 Type 2",https://www.datacenters.com/coresite-dc1-washington-dc
tierpoint-dallas-857bd342-404f-4090-a5bc-cccf3709e4c8,centers,TierPoint: Dallas Data Center,TierPoint,3004 Irving Boulevard,Dallas,,TX,USA,68000 sqft total space,52000 sqft colocation space,,11.0 MW total power,,"EU-US, HIPAA, HITRUST CSF, ISO 27001, NIST 800-53, PCI DSS, SOC 1 Type 2, SOC 2, SOC 2 Type 2",https://www.datacenters.com/tierpoint-dallas-857bd342-404f-4090-a5bc-cccf3709e4c8
coresite-ny1-new-york,centers,,,,,,,,,,,,,,https://www.datacenters.com/coresite-ny1-new-york
coresite-la2-los-angeles,centers,CoreSite: LA2 Los Angeles Data Center,CoreSite,900 Alameda Street,Los Angeles,,CA,USA,424000 sqft total space,424000 sqft,,,"High-density, high-scalability","FISMA, HIPAA, ISO 27001, NIST 800-53, PCI DSS, SOC 1 Type 2, SOC 2 Type 2",https://www.datacenters.com/coresite-la2-los-angeles
tierpoint-spokane-spo03,centers,,,,,,,,,,,,,,https://www.datacenters.com/tierpoint-spokane-spo03
coresite-la3-los-angeles,centers,CoreSite: LA3 Los Angeles Data Center,CoreSite,200 Bauchet Street,Los Angeles,,CA,USA,150000 sqft,150000 sqft,,,Enterprise,"FISMA, HIPAA, ISO 27001, NIST 800-53, PCI DSS, SOC 1 Type 2, SOC 2 Type 2",https://www.datacenters.com/coresite-la3-los-angeles
