Company Name,Location Name,Address,Latitude,Longitude,Street Address,City,State,Country,Year Built
Equinix,NY4 Secaucus Data Center,"755 Secaucus Road, Secaucus, NJ, USA",40.77642805000001,-74.06977591,755 Secaucus Road,Secaucus,NJ,USA,2001
QTS Data Centers,Richmond Data Center,"6000 Technology Boulevard, Sandston, VA, USA",37.4888273,-77.24748997,6000 Technology Boulevard,Sandston,VA,USA,1998
Equinix,MI1 Miami Data Center,"50 Northeast 9th Street, Miami, FL, USA",25.7825762,-80.1927703,50 Northeast 9th Street,Miami,FL,USA,Not Available
Equinix,MI1 Miami Data Center,"50 Northeast 9th Street, Miami, FL, USA",25.7825762,-80.1927703,50 Northeast 9th Street,Miami,FL,USA,Not Available
Equinix,MI1 Miami Data Center,"50 Northeast 9th Street, Miami, FL, USA",25.7825762,-80.1927703,50 Northeast 9th Street,Miami,FL,USA,Not Available
Switch Data Centers,Switch Data Centers: Keep Data Center,"1 Switch Way, Lithia Springs, GA, USA",33.75502515,-84.5872685,1 Switch Way,Lithia Springs,GA,USA,2020
Equinix,NY5 Secaucus Data Center,"800 Secaucus Road, Secaucus, NJ, USA",40.77862955,-74.07229969,800 Secaucus Road,Secaucus,NJ,USA,2012
QTS Data Centers,Phoenix Data Center,"1200 North 40th Street, Phoenix, Arizona 85008, USA",33.4623279,-111.9951635,1200 North 40th Street,Phoenix,Arizona 85008,USA,
Equinix,CH3 Elk Grove Data Center,"1905 Lunt Avenue, Elk Grove Village, IL, USA",42.00107525,-87.95526507,1905 Lunt Avenue,Elk Grove Village,IL,USA,2007
Equinix,CH3 Elk Grove Data Center,"1905 Lunt Avenue, Elk Grove Village, IL, USA",42.00107525,-87.95526507,1905 Lunt Avenue,Elk Grove Village,IL,USA,2007
Equinix,CH3 Elk Grove Data Center,"1905 Lunt Avenue, Elk Grove Village, IL, USA",42.00107525,-87.95526507,1905 Lunt Avenue,Elk Grove Village,IL,USA,2007
Equinix,NY2 Secaucus Data Center,"275 Hartz Way, Secaucus, NJ, USA",40.77758225,-74.07594032,275 Hartz Way,Secaucus,NJ,USA,1972
Equinix,NY2 Secaucus Data Center,"275 Hartz Way, Secaucus, NJ, USA",40.77758225,-74.07594032,275 Hartz Way,Secaucus,NJ,USA,1972
CyrusOne,NYM1 Somerset Data Center,"800 Cottontail Lane, Somerset, NJ, USA",40.53901490871647,-74.54806381,800 Cottontail Lane,Somerset,NJ,USA,2011
CyrusOne,NYM1 Somerset Data Center,"800 Cottontail Lane, Somerset, NJ, USA",40.53901490871647,-74.54806381,800 Cottontail Lane,Somerset,NJ,USA,2011
QTS Data Centers,Chicago Data Center,"2800 South Ashland Avenue, Chicago, Illinois 60608, USA",41.8422076,-87.66896957,2800 South Ashland Avenue,Chicago,Illinois 60608,USA,Not Available
QTS Data Centers,Atlanta 1 DC1 Data Center,"1033 Jefferson Street Northwest, Atlanta, GA, USA",33.77834525,-84.42109086,1033 Jefferson Street Northwest,Atlanta,GA,USA,1954
Iron Mountain Data Centers,AZP - 1 - Phoenix Data Center,"615 North 48th Street, Phoenix, AZ, USA",33.45449175,-111.9761812,615 North 48th Street,Phoenix,AZ,USA,Not Available
Iron Mountain Data Centers,AZP - 1 - Phoenix Data Center,"615 North 48th Street, Phoenix, AZ, USA",33.45449175,-111.9761812,615 North 48th Street,Phoenix,AZ,USA,Not Available
Iron Mountain Data Centers,AZP - 1 - Phoenix Data Center,"615 North 48th Street, Phoenix, AZ, USA",33.45449175,-111.9761812,615 North 48th Street,Phoenix,AZ,USA,Not Available
DataBank,DFW3 - Plano Data Center,"8375 Dominion Pkwy, Plano, TX, USA",33.085227685975575,-96.81243464,8375 Dominion Pkwy,Plano,TX,USA,2017
Telefonica Global Solutions,Miami KeyCenter,11300 Northwest 25th Street,25.79617075,-80.37981073,11300 Northwest 25th Street,,,,Not Available
PhoenixNAP,Phoenix Data Center,"3402 East University Drive, Phoenix, AZ, USA",33.41607765,-112.00936,3402 East University Drive,Phoenix,AZ,USA,Not Available
PhoenixNAP,Phoenix Data Center,"3402 East University Drive, Phoenix, AZ, USA",33.41607765,-112.00936,3402 East University Drive,Phoenix,AZ,USA,Not Available
QTS Data Centers,Piscataway Data Center,"101 Possumtown Road, Piscataway Township, New Jersey 08854, USA",40.5574623,-74.48445497,101 Possumtown Road,Piscataway Township,New Jersey 08854,USA,2010
QTS Data Centers,Piscataway Data Center,"101 Possumtown Road, Piscataway Township, New Jersey 08854, USA",40.5574623,-74.48445497,101 Possumtown Road,Piscataway Township,New Jersey 08854,USA,2010
